410414631	20150217	201502	2015	2015.1288	GOV	PRESIDENT						GOV			TUR	TURKEY	TUR								1	141	141	14	3	-6.5	2	1	2	-4.92307692307693	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	20150218230000	http://www.aktifmedya.com/politika/odp-il-baskani-cumhurbaskani-erdogana-hakaretten-gozaltini-alindi-h399514.html
410414632	20150217	201502	2015	2015.1288	LBYMIL	LIBYAN	LBY					MIL			LBY	LIBYA	LBY								0	195	195	19	4	-10.0	10	1	10	-3.81526104417671	1	Libya	LY	LY		25	17	LY	1	Libya	LY	LY		25	17	LY	1	Libya	LY	LY		25	17	LY	20150218230000	http://www.alkhaleej.ae/alkhaleej/page/f2b05782-ffe1-4f37-aa09-5f3e09b516fa
410414633	20150217	201502	2015	2015.1288	LBYMIL	LIBYAN	LBY					MIL			MIL	COMMANDER						MIL			0	1124	112	11	3	-2.0	2	1	2	-3.81526104417671	1	Libya	LY	LY		25	17	LY	1	Libya	LY	LY		25	17	LY	1	China	CH	CH		35	105	CH	20150218230000	http://www.alkhaleej.ae/alkhaleej/page/f2b05782-ffe1-4f37-aa09-5f3e09b516fa
410414634	20150217	201502	2015	2015.1288	LBYMIL	LIBYAN	LBY					MIL			MIL	COMMANDER						MIL			0	1124	112	11	3	-2.0	8	1	8	-3.81526104417671	1	Libya	LY	LY		25	17	LY	1	Libya	LY	LY		25	17	LY	1	Libya	LY	LY		25	17	LY	20150218230000	http://www.alkhaleej.ae/alkhaleej/page/f2b05782-ffe1-4f37-aa09-5f3e09b516fa
410414635	20150217	201502	2015	2015.1288	MED	TELEVISION						MED													0	036	036	03	1	4.0	10	1	10	-5.23917995444191	1	Tunisia	TS	TS		34	9	TS	0								1	Tunisia	TS	TS		34	9	TS	20150218230000	http://www.attounissia.com.tn/details_article.php?t=42&a=147794&temp=1&lang=
410414636	20150217	201502	2015	2015.1288	TURGOV	RECEP TAYYIP ERDOGAN	TUR					GOV			TUR	TURKEY	TUR								1	141	141	14	3	-6.5	6	1	6	-4.92307692307693	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	20150218230000	http://www.aktifmedya.com/politika/odp-il-baskani-cumhurbaskani-erdogana-hakaretten-gozaltini-alindi-h399514.html
410414637	20150218	201502	2015	2015.1315											AFR	AFRICA	AFR								0	020	020	02	1	3.0	10	1	10	-4.32098765432099	0								4	Bucharest, Bucuresti, Romania	RO	RO10	25006	44.4333	26.1	-1153951	4	Bucharest, Bucuresti, Romania	RO	RO10	25006	44.4333	26.1	-1153951	20150218230000	http://www.indexstiri.ro/o-stea-a-traversat-sistemul-solar-in-urma-cu-70000-de-ani.html
410414638	20150218	201502	2015	2015.1315											AFR	AFRICA	AFR								1	073	073	07	2	7.4	10	1	10	-0.25316455696203	0								1	South Africa	SF	SF		-29	24	SF	1	South Africa	SF	SF		-29	24	SF	20150218230000	http://fis.com/fis/worldnews/worldnews.asp?monthyear=&day=18&id=74674&l=s&special=0&ndb=0
410414639	20150218	201502	2015	2015.1315											ARG	ARGENTINA	ARG								1	042	042	04	1	1.9	10	1	10	-4.84210526315789	0								4	March In, Zanjan, Iran	IR	IR36	41125	36.3185	49.3279	-3052651	4	March In, Zanjan, Iran	IR	IR36	41125	36.3185	49.3279	-3052651	20150218230000	http://www.notitarde.com/Internacional/Multitudinaria-marcha-en-Argentina-a-un-mes-de-la-muerte-de-Nisman--/2015/02/18/490730/
410414640	20150218	201502	2015	2015.1315											ARG	ARGENTINA	ARG								1	043	043	04	1	2.8	8	1	8	-0.86655112651647	0								4	Atucha, Buenos Aires, Argentina	AR	AR01	22379	-33.98	-59.285	-977383	4	Atucha, Buenos Aires, Argentina	AR	AR01	22379	-33.98	-59.285	-977383	20150218230000	http://m.terra.com.ar/noticia?n=cc0031e7b9e9b410VgnCLD200000b2bf46d0RCRD
